Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,METHODS:   Sampling/Analysis,Incubation Time (hour),DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Total N2 Fixation (μmol N m-3 d-1),DATE_str,DATE,YRDY,SST(m),CHL(m),PAR(m),salinity,Nitrate,Phosphate,dissolved_oxygen,Fe,Fe:N,N:P,coord1,coord2,coord3,month,time_cos,time_sin,log_Fe,log_N,log_P,region,group,group_code,log_y,log_CHL,T,MLD,Bathymetry
0,1,1,1484,15N2 gas  dissolution,24.0,2015-07-29 00:00:00,24.6032,-156.5035,15.0,9.706656,2015-07-29,2015-07-29,2015209,27.324999,0.052954018,55.702,35.137,0.042,0.02,210.561,0.2098293044213314,4.995935819555509,2.1,0.4163315729352249,-0.3624968458399495,0.8338249565306673,7,-0.8660254037844388,-0.4999999999999998,-0.6781338590416999,-1.3767507096020994,-1.6989700043360187,NPacGyre,group1,0,0.9870696386743916,-1.276101081278423,25.095,28.66760586616505,4493
598,698,698,289,15N2 bubble assimilation,24.0,2009-02-18 00:00:00,22.75,-158.0,75.0,0.444027486619154,2009-02-18,2009-02-18,2009049,22.404999,0.06021247,42.486,35.208,0.042,0.069,213.031,0.2519275355046556,5.998274654872751,0.6086956521739131,0.3867109616368206,-0.3454625644423121,0.8550498515986461,2,0.5000000000000001,0.8660254037844386,-0.5987243618223487,-1.3767507096020994,-1.1611509092627446,NPacGyre,group1,0,-0.3525901449359649,-1.2203135570584551,22.99,63.99274770815144,4744
599,699,699,353,15N2 bubble assimilation,24.0,2010-07-10 00:00:00,22.75,-158.0,25.0,1.518560986253653,2010-07-10,2010-07-10,2010185,25.71,0.060638364,59.2,35.017,0.046,0.068,209.385,0.3417477995029563,7.4292999891947025,0.676470588235294,0.3867109616368206,-0.3454625644423121,0.8550498515986461,7,-0.8660254037844388,-0.4999999999999998,-0.4662942731516551,-1.337242168318426,-1.1674910872937636,NPacGyre,group1,0,0.1814322381124205,-1.2172525243179042,25.556,49.97672099774216,4744
600,701,701,355,15N2 bubble assimilation,24.0,2010-07-10 00:00:00,22.75,-158.0,75.0,0.6664989856147108,2010-07-10,2010-07-10,2010185,25.71,0.060638364,59.2,35.148,0.032,0.054,219.93,0.2398177245930758,7.494303893533618,0.5925925925925926,0.3867109616368206,-0.3454625644423121,0.8550498515986461,7,-0.8660254037844388,-0.4999999999999998,-0.6201187219523623,-1.494850021680094,-1.2676062401770316,NPacGyre,group1,0,-0.1762005072287699,-1.2172525243179042,23.538,49.97672099774216,4744
601,702,702,429,15N2 bubble assimilation,24.0,2003-08-15 00:00:00,21.0,-159.0,142.5,0.501806488434315,2003-08-15,2003-08-15,2003225,26.88,0.05295667,57.112,34.988,2.213,0.227,199.5,0.1192879115871813,0.0539032587379942,9.748898678414095,0.3583679495453002,-0.334565303179429,0.8715724127386971,8,-0.5000000000000004,-0.8660254037844384,-0.923403564686592,0.3449814139272579,-0.6439741428068773,NPacGyre,group1,0,-0.2994637274913141,-1.2760793318405146,20.041,39.243010869595786,4689
602,703,703,428,15N2 bubble assimilation,24.0,2003-08-15 00:00:00,21.0,-159.0,70.0,0.7218043924361712,2003-08-15,2003-08-15,2003225,26.88,0.05295667,57.112,35.116,0.089,0.073,220.776,0.1544373777816162,1.7352514357484967,1.2191780821917808,0.3583679495453002,-0.334565303179429,0.8715724127386971,8,-0.5000000000000004,-0.8660254037844384,-0.8112475809449222,-1.0506099933550872,-1.136677139879544,NPacGyre,group1,0,-0.1415804794322514,-1.2760793318405146,24.248,39.243010869595786,4689
603,704,704,427,15N2 bubble assimilation,24.0,2003-08-15 00:00:00,21.0,-159.0,47.5,1.6673753249235097,2003-08-15,2003-08-15,2003225,26.88,0.05295667,57.112,35.066,0.027,0.081,216.838,0.2150575000894583,7.965092595905863,0.3333333333333333,0.3583679495453002,-0.334565303179429,0.8715724127386971,8,-0.5000000000000004,-0.8660254037844384,-0.6674454069082297,-1.5686362358410126,-1.0915149811213505,NPacGyre,group1,0,0.22203337019157,-1.2760793318405146,25.756,39.243010869595786,4689
604,705,705,426,15N2 bubble assimilation,24.0,2003-08-15 00:00:00,21.0,-159.0,10.0,3.660215529534483,2003-08-15,2003-08-15,2003225,26.88,0.05295667,57.112,35.044,0.114,0.088,207.773,0.2563697696591558,2.2488576285890858,1.2954545454545456,0.3583679495453002,-0.334565303179429,0.8715724127386971,8,-0.5000000000000004,-0.8660254037844384,-0.591133186814072,-0.9430951486635274,-1.055517327849831,NPacGyre,group1,0,0.563506659310141,-1.2760793318405146,26.533,39.243010869595786,4689
605,706,706,425,15N2 bubble assimilation,24.0,2003-08-14 00:00:00,20.5,-161.0,47.5,1.588501213263911,2003-08-14,2003-08-14,2003225,27.279999,0.048318785,58.242,35.009,0.098,0.098,220.237,0.2258373765413417,2.304463025932058,1.0,0.3502073812594674,-0.3049506359849453,0.8856409541816386,8,-0.5000000000000004,-0.8660254037844384,-0.646204179849786,-1.0087739243075051,-1.0087739243075051,NPacGyre,group1,0,0.2009875508683097,-1.3158839948014462,26.168,32.27064867757363,4723
606,707,707,424,15N2 bubble assimilation,24.0,2003-08-14 00:00:00,20.5,-161.0,25.0,2.9393529475237683,2003-08-14,2003-08-14,2003225,27.279999,0.048318785,58.242,34.951,0.098,0.113,207.505,0.2351275484797934,2.3992606987734018,0.8672566371681416,0.3502073812594674,-0.3049506359849453,0.8856409541816386,8,-0.5000000000000004,-0.8660254037844384,-0.6286964842232196,-1.0087739243075051,-0.9469215565165804,NPacGyre,group1,0,0.4682517378108721,-1.3158839948014462,26.928,32.27064867757363,4723
